,pose_number,megadock_score,crl,l_rms,i_rms,fnat,capri_rank,cluster_number,cluster_centr,cluster_best,cluster_size,protac_pose,active_linkers,top_protac_score,final_score
0,15092,1699.34,[2],44.425,14.06,0.0,incorrect,16,True,True,1.0,True,3,-35.7304,-0.5104002125845519
1,11831,1802.28,[1],19.387,4.9,0.318,acceptable,14,True,True,1.0,True,"8,9,2,1",-37.7366,-0.5099569481137959
2,14422,1722.82,[2],37.215,8.232,0.045,incorrect,2,False,True,6.0,True,2,-34.0631,-0.5097862225226089
3,15321,1690.3,[2],45.988,12.708,0.0,incorrect,15,True,True,1.0,True,"8,6,1",-34.6155,-0.5096412603269089
4,9971,1854.86,[2],32.406,5.727,0.0,incorrect,17,False,True,2.0,True,"2,3,9,8",-37.3966,-0.5090209474411962
5,13549,1749.68,[1],20.59,10.626,0.0,incorrect,5,True,True,2.0,True,"5,3,0,4,8,1,9,6",-37.0992,-0.5089162465487085
6,5047,2021.71,[1],46.437,13.96,0.0,incorrect,8,False,True,4.0,True,"2,3,4",-36.818,-0.5087505516467813
7,8181,1907.59,[2],5.087,1.347,0.727,medium,0,True,True,7.0,True,"8,9,1,0",-36.0174,-0.5085168350727742
8,5028,2022.13,[1],45.785,13.049,0.0,incorrect,8,False,False,,True,"3,6",-34.5779,-0.5084752451820642
9,5355,2009.79,[3],37.226,9.478,0.045,incorrect,18,True,True,1.0,True,"7,5,8,2,0,3,9,4,6",-39.3268,-0.5068552155463891
10,14543,1718.41,[1],37.405,8.163,0.045,incorrect,2,True,False,6.0,True,"3,1,5,4,9",-32.9648,-0.506843633450206
11,10109,1851.04,[2],3.661,0.999,0.864,high,0,False,False,,True,"2,5,6",-30.8138,-0.5067685574164109
12,10949,1826.69,[2],40.803,9.324,0.0,incorrect,13,True,True,1.0,True,"8,4,9",-34.5112,-0.5066195116482094
13,5916,1987.98,[2],15.744,5.187,0.227,incorrect,3,False,True,4.0,True,"9,5,2,6",-40.3556,-0.5062684739914942
14,13080,1763.08,[1],48.159,13.643,0.0,incorrect,10,True,True,1.0,True,7,-21.2617,-0.5059929119387155
15,15570,1679.6,[2],15.844,2.844,0.364,acceptable,1,True,True,2.0,True,"0,8,6",-34.0535,-0.5053778027956357
16,1919,2223.11,[4],5.643,1.977,0.864,medium,0,False,False,,True,"3,7,9,5,0",-39.6162,-0.5052271232420521
17,955,2351.91,[1],44.854,12.924,0.0,incorrect,8,False,False,,True,"3,6",-39.2695,-0.5049484856404395
18,1933,2221.36,[2],23.297,6.348,0.045,incorrect,20,True,True,1.0,True,"9,7",-39.2214,-0.5047726645358329
19,15080,1699.91,[1],37.115,8.132,0.045,incorrect,2,False,False,,True,"6,3,2",-36.3699,-0.5046394126320392
20,2483,2170.09,[1],44.53,12.872,0.0,incorrect,8,True,False,4.0,True,"3,6",-20.3486,-0.5038681901870048
21,12327,1787.53,[2],14.406,5.774,0.182,incorrect,3,False,False,,True,8,-12.9829,-0.5036182362783891
22,12625,1777.97,[1],22.088,11.043,0.0,incorrect,19,True,True,1.0,True,"4,8,9",-21.8152,-0.5035926160512199
23,12632,1777.53,[1],36.249,7.912,0.045,incorrect,2,False,False,,True,"5,2,7,3",-19.4611,-0.5035364112037368
24,10686,1833.94,[2],16.188,5.183,0.318,acceptable,3,True,False,4.0,True,"7,3",-22.2153,-0.5034252893920236
25,7081,1944.16,[2],19.604,6.214,0.091,incorrect,3,False,False,,True,"2,7",-21.0331,-0.5030442893996697
26,14696,1712.56,[1],18.559,12.27,0.0,incorrect,5,False,False,,True,2,-10.1299,-0.5029487329147602
27,5730,1994.99,[5],14.192,2.503,0.364,acceptable,0,False,False,,True,"4,7",-19.8123,-0.5028136131329146
28,1117,2322.41,[2],6.582,1.165,0.727,medium,0,False,False,,True,"3,0,4,9,1,7",-35.9099,-0.5027625428064213
29,4581,2042.3,[2],14.54,4.694,0.182,incorrect,9,True,True,1.0,True,1,-10.9707,-0.5026786163875461
30,15072,1700.16,[1],13.144,4.996,0.318,acceptable,4,True,True,1.0,True,"9,4",-9.02296,-0.5025277041660497
31,12624,1778.06,[3],2.479,1.223,0.773,medium,0,False,False,,True,9,-7.60426,-0.5021337665901716
32,6536,1963.25,[2],38.062,8.411,0.045,incorrect,2,False,False,,True,7,-7.63405,-0.5019404431543364
33,13338,1756.03,[2],2.068,0.864,0.636,high,0,False,False,,True,0,-5.62066,-0.5015978189548744
34,8884,1886.3,[1],24.267,6.546,0.045,incorrect,7,True,True,1.0,True,9,-5.73324,-0.5015173887355617
35,16665,1631.66,[2],42.112,13.782,0.0,incorrect,11,True,True,1.0,True,7,-4.58055,-0.5014016714611094
36,2569,2163.34,[4],28.165,5.63,0.182,incorrect,1,False,False,,True,"2,8",-7.45048,-0.5013648100820676
37,14916,1705.75,[1],16.501,5.227,0.318,acceptable,12,True,True,1.0,True,8,-3.34762,-0.5009803103111561
38,9143,1878.31,[2],25.254,4.77,0.091,incorrect,17,True,False,2.0,True,0,-2.63723,-0.5007015285042787
39,15510,1682.22,[1],37.802,8.216,0.045,incorrect,2,False,False,,True,2,-1.94529,-0.5005778566271647
40,902,2363.43,[1],42.778,13.278,0.0,incorrect,6,True,True,1.0,True,2,-1.51342,-0.5003200719148404
